Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
ALBANIA A LIT SL,ALBANIA A LIT,SL,28,6.64,0,0,0,0,3.57,28.57,67.86,May,2018
AMHARIC A LIT HL,AMHARIC A LIT,HL,13,6.54,0,0,0,0,7.69,30.77,61.54,May,2018
AMHARIC A LIT SL,AMHARIC A LIT,SL,30,6.23,0,0,0,3.33,16.67,33.33,46.67,May,2018
ARABIC A LAL HL,ARABIC A LAL,HL,144,5.21,0,0,4.86,13.89,40.28,37.5,3.47,May,2018
ARABIC A LAL SL,ARABIC A LAL,SL,322,5.25,0,0,1.24,18.94,38.51,36.65,4.66,May,2018
ARABIC A LIT HL,ARABIC A LIT,HL,106,5.28,0,0,2.83,13.21,43.4,33.96,6.6,May,2018
ARABIC A LIT SL,ARABIC A LIT,SL,397,5.14,0,1.53,8.91,15.01,31.81,34.1,8.65,May,2018
ARMENIA A LIT SL,ARMENIA A LIT,SL,21,6.1,0,0,0,0,23.81,42.86,33.33,May,2018
BENGALI A LIT SL,BENGALI A LIT,SL,14,5.71,0,0,0,0,50,28.57,21.43,May,2018
BOSNIAN A LIT HL,BOSNIAN A LIT,HL,52,6.12,0,0,0,0,13.46,61.54,25,May,2018
BOSNIAN A LIT SL,BOSNIAN A LIT,SL,11,5.64,0,0,9.09,18.18,0,45.45,27.27,May,2018
BULGARI A LIT HL,BULGARI A LIT,HL,43,6.1,0,0,0,0,17.07,56.1,26.83,May,2018
BULGARI A LIT SL,BULGARI A LIT,SL,15,6.4,0,0,0,0,0,60,40,May,2018
BURMESE A LIT HL,BURMESE A LIT,HL,10,5.4,0,0,0,20,30,40,10,May,2018
CATALAN A LIT HL,CATALAN A LIT,HL,116,5.93,0,0,0,1.83,23.85,54.13,20.18,May,2018
CATALAN A LIT SL,CATALAN A LIT,SL,49,5.57,0,0,0,12.24,30.61,44.9,12.24,May,2018
CHINESE A LAL HL,CHINESE A LAL,HL,592,5.67,0,0,0.17,3.57,35.99,49.75,10.53,May,2018
CHINESE A LAL SL,CHINESE A LAL,SL,1210,5.82,0,0,0.25,4.15,23.57,57.01,15.02,May,2018
CHINESE A LIT HL,CHINESE A LIT,HL,497,5.51,0,0,0.61,8.37,39.8,42.04,9.18,May,2018
CHINESE A LIT SL,CHINESE A LIT,SL,1328,5.4,0,0.08,0.68,10.29,41.83,42.74,4.39,May,2018
